"hour","max","CI_high","median","mean","CI_low","min"
1,0.116769095697981,0.0673944260146413,0.0632926127184133,0.0654168553045252,0.063439284594409,0.0478134110787172
2,0.116769095697981,0.0664938063483931,0.0628829606919171,0.0644630134383443,0.0624322205282955,0.0467643349180169
3,0.116769095697981,0.0658217695960982,0.0623664740329445,0.0637435095164407,0.0616652494367833,0.0461478674827553
4,0.116769095697981,0.0653727243247559,0.0619589929419847,0.0632497156356057,0.0611267069464556,0.0446207883439573
5,0.116769095697981,0.0656778060029463,0.0626540240916661,0.0635534614640464,0.0614291169251465,0.0448979591836735
6,0.116769095697981,0.0704040884614924,0.0671012078330784,0.0684058491434897,0.0664076098254869,0.0450915465523958
7,0.116769095697981,0.0863914994101375,0.0841895839982474,0.0846375659300722,0.0828836324500068,0.0522824814670308
8,0.141234264660731,0.111550922898204,0.110425825452278,0.109670068021162,0.107789213144121,0.0692682926829268
9,0.154712643678161,0.130509831253843,0.129574586661713,0.128589559458227,0.126669287662611,0.0866433021806854
10,0.157264563665669,0.138167307912063,0.138279932546374,0.136585837617173,0.135004367322282,0.101676740105284
11,0.154610584700716,0.138545762702397,0.137437232657616,0.137263087837728,0.135980412973059,0.117395529640428
12,0.151221761180267,0.134594716213314,0.133207707206415,0.133507687261786,0.132420658310258,0.118891188911889
13,0.159501187648456,0.131482158427063,0.13083968290618,0.130365278715262,0.12924839900346,0.114724220623501
14,0.144201122618389,0.128462021013906,0.127675414107575,0.127361700665886,0.126261380317865,0.113454198473282
15,0.142561190823295,0.125612545615604,0.124276377217554,0.124598807443544,0.123585069271485,0.112191608139744
16,0.13659398034398,0.119864417203992,0.117258543122427,0.118811275019738,0.117758132835484,0.103197396132491
17,0.129019908116386,0.110459935449867,0.108458705782954,0.109407672880435,0.108355410311002,0.0967003623879458
18,0.119777488460173,0.105150432643699,0.103710026781618,0.104268693349306,0.103386954054912,0.0940064897881275
19,0.119517673483863,0.103400599723898,0.101544101090362,0.102454630955364,0.10150866218683,0.090040532715692
20,0.115211734090371,0.0999352347033438,0.0981665393430099,0.0990334902129728,0.0981317457226019,0.0834457506263249
21,0.111528984567501,0.0925365918224371,0.0911528150134048,0.0915554777529198,0.0905743636834025,0.0748456790123457
22,0.103158641902283,0.082948490184913,0.0818040737397709,0.0819890779432145,0.081029665701516,0.0650579150579151
23,0.0913177194227585,0.0742951071130548,0.0737406520418179,0.0734391499768802,0.0725831928407056,0.0582496136012365
24,0.116769095697981,0.0687785095474212,0.0648153887886679,0.0668677747977605,0.0649570400480997,0.0497280497280497
