"hour","max","CI_high","median","mean","CI_low","min"
1,0.128589263420724,0.0781957095195916,0.0732537101196147,0.0758211020006753,0.0734464944817591,0.0504377238360525
2,0.128589263420724,0.0772674460897482,0.0714785770409154,0.074868942564943,0.0724704390401378,0.0504377238360525
3,0.128589263420724,0.0765572066817963,0.070654293067145,0.0741270772641544,0.0716969478465124,0.0504377238360525
4,0.128589263420724,0.0767526981320596,0.0705275197358348,0.0741961989141076,0.0716396996961556,0.0504377238360525
5,0.128589263420724,0.0769018981831989,0.0714340935446463,0.0744169225769428,0.0719319469706867,0.0504377238360525
6,0.128589263420724,0.0812877235483088,0.0769410118908837,0.0789187486713804,0.076549773794452,0.0504377238360525
7,0.128589263420724,0.0964168688475932,0.0947012806860724,0.0939033190141379,0.0913897691806826,0.0504377238360525
8,0.16156462585034,0.123331452152029,0.125128439319557,0.11991928904359,0.11650712593515,0.0504377238360525
9,0.184652006347767,0.14443305566456,0.148838895004349,0.140216034505376,0.135999013346193,0.0504377238360525
10,0.191985510527507,0.153524369240713,0.158380065888275,0.14896473493113,0.144405100621546,0.0504377238360525
11,0.191053227633069,0.155456847236425,0.161281089955897,0.150935521159727,0.146414195083029,0.0504377238360525
12,0.201058823529412,0.152983612994235,0.153880681042899,0.148696704718573,0.144409796442912,0.0504377238360525
13,0.186792025373811,0.149284188966559,0.150438431002427,0.145226977380191,0.141169765793824,0.0504377238360525
14,0.180415295586066,0.147348574761065,0.150166296011703,0.143411921807937,0.139475268854809,0.0504377238360525
15,0.182678428227747,0.143840413625418,0.145586600476173,0.140065018100092,0.136289622574767,0.0504377238360525
16,0.169745042492918,0.136420845102481,0.136233925232925,0.132981103889466,0.129541362676451,0.0504377238360525
17,0.162743322770484,0.126878518977097,0.126723236580127,0.123819098291187,0.120759677605278,0.0504377238360525
18,0.152411282984531,0.120765427124093,0.120703388566888,0.117976759604521,0.115188092084949,0.0504377238360525
19,0.144802541988198,0.116633346300725,0.117772649792558,0.114013701080573,0.111394055860421,0.0504377238360525
20,0.138936146081434,0.111866059412881,0.112142983637487,0.109407001613608,0.106947943814336,0.0504377238360525
21,0.130395377818058,0.103064230268524,0.102684832698858,0.100866622094342,0.0986690139201606,0.0504377238360525
22,0.117817339701838,0.0936823142369347,0.0922317912102843,0.0917318641372754,0.0897814140376161,0.0504377238360525
23,0.110985857757737,0.0859079642099357,0.0840558511876699,0.0839464137066527,0.0819848632033698,0.0504377238360525
24,0.128589263420724,0.079374574615747,0.074964969640355,0.0770304458186388,0.0746863170215307,0.0504377238360525
