"hour","max","CI_high","median","mean","CI_low","min"
1,0.0880948460398485,0.0696522105279608,0.0705269253039954,0.0685574507870226,0.0674626910460845,0.0513277202072539
2,0.0958544977879731,0.0687407216522053,0.0692993821107781,0.0676273258336947,0.066513930015184,0.0533364388028415
3,0.0800570138971374,0.0675866940738607,0.0682802811138364,0.0664864660194494,0.0653862379650381,0.0528711484593838
4,0.0791315695812077,0.0670857092731675,0.0673794525323684,0.065945771788955,0.0648058343047426,0.0519087523277467
5,0.0792443863609362,0.0675863816387359,0.0681976232373338,0.0664851930933568,0.0653840045479777,0.0519571295433364
6,0.0913838120104439,0.073904491783164,0.0732198210854024,0.0727111090275443,0.0715177262719246,0.0557884928954111
7,0.118136439267887,0.0938219592177349,0.0919029340489449,0.0920306053239375,0.09023925143014,0.0616269515201315
8,0.158402662229617,0.126593326998498,0.124974362129789,0.123967906717575,0.121342486436653,0.0783005617977528
9,0.178245270711024,0.152673502902623,0.153494051944185,0.149884150079214,0.147094797255805,0.0969555035128806
10,0.187993867201321,0.16368398489405,0.162520729684909,0.161274300956821,0.158864617019592,0.115942028985507
11,0.187622629169392,0.164773950503595,0.16120195899394,0.162987360843437,0.161200771183279,0.135557629491367
12,0.182627153236999,0.161377004931657,0.156622543780317,0.159742293410894,0.15810758189013,0.140009272137228
13,0.17952041477641,0.15919273771148,0.15500913773052,0.157453811211877,0.155714884712274,0.138206672845227
14,0.178083804143126,0.158260968452254,0.154933089518743,0.156517572045561,0.154774175638868,0.137999071494893
15,0.184366082348145,0.155382282647022,0.153688388330147,0.153660035854163,0.151937789061305,0.135904286212104
16,0.172022483826493,0.147571011924399,0.145385677439409,0.145924885993382,0.144278760062364,0.121679619533697
17,0.163759689922481,0.136040461192012,0.133294920416864,0.134296626265827,0.132552791339642,0.113567955545265
18,0.146951016327891,0.127417705105985,0.125665424427652,0.125758965914071,0.124100226722158,0.103803028551613
19,0.139677419354839,0.122401309254135,0.120317974594823,0.120817885001385,0.119234460748634,0.0969346443030654
20,0.136804367310356,0.115669630410198,0.114057560779939,0.11407733544633,0.112485040482463,0.0915297384864615
21,0.127096564077512,0.106093797774545,0.104544357269462,0.10460003059831,0.103106263422075,0.0842397593149734
22,0.114350686266548,0.0945456285916323,0.0931714677786795,0.0931068351393348,0.0916680416870372,0.0710319296621934
23,0.0995699099245314,0.084255356333481,0.0829010430951618,0.0828107120068048,0.0813660676801287,0.0617115581316059
24,0.117992525360384,0.0710924757926665,0.0687540348612008,0.0696309108376352,0.0681693458826039,0.0512447462010993
