"hour","max","CI_high","median","mean","CI_low","min"
1,0.128589263420724,0.0705717280581489,0.0678301380812547,0.0696403072613843,0.0687088864646196,0.0409552845528455
2,0.128589263420724,0.0693252914751671,0.0668634009280238,0.068404262129413,0.0674832327836589,0.0409694757124024
3,0.128589263420724,0.0692652984517925,0.0666718110965352,0.068314843969705,0.0673643894876176,0.0405679513184584
4,0.128589263420724,0.0691111957028172,0.0664103224669859,0.0681572162705315,0.0672032368382457,0.0361868755063462
5,0.128589263420724,0.0693107958561973,0.0667807189199335,0.0683710017459475,0.0674312076356976,0.0410875519935072
6,0.128589263420724,0.0734033012218458,0.0715513201062334,0.0724802203905775,0.0715571395593092,0.0434606422854827
7,0.128589263420724,0.0861791445515479,0.0860248447204969,0.0850859065941117,0.0839926686366754,0.049883402615837
8,0.154562383612663,0.107819055201567,0.11152625449261,0.106101064733921,0.104383074266275,0.0504377238360525
9,0.171453165349401,0.12805273060214,0.138197424892704,0.125919626258635,0.12378652191513,0.0504377238360525
10,0.176543689320388,0.138274388965184,0.149055005343961,0.136157338917963,0.134040288870743,0.0504377238360525
11,0.183053557154277,0.140724421089866,0.149101053936764,0.138741074755013,0.136757728420159,0.0504377238360525
12,0.187087653157399,0.139597512028752,0.14548688993735,0.137764142718068,0.135930773407384,0.0504377238360525
13,0.187153146770575,0.136700517815449,0.140270400772574,0.135003513104973,0.133306508394497,0.0504377238360525
14,0.178091985066328,0.135833993225642,0.139639641697466,0.134180048594722,0.132526103963801,0.0504377238360525
15,0.17089534973394,0.133768128633617,0.137937766202918,0.132195828608227,0.130623528582838,0.0504377238360525
16,0.161960695730743,0.127680223803114,0.130671989354624,0.126236440125761,0.124792656448407,0.0504377238360525
17,0.150276617364796,0.117604809158466,0.11946839522443,0.116377642467001,0.115150475775537,0.0504377238360525
18,0.144419391206313,0.110735292814738,0.111553473848556,0.10962241611195,0.108509539409163,0.0504377238360525
19,0.135713253360312,0.105819561973156,0.106250140767922,0.104741433079744,0.103663304186333,0.0504377238360525
20,0.136396474497905,0.0993885657825132,0.0996445988320442,0.0983528650620623,0.0973171643416114,0.0504377238360525
21,0.128589263420724,0.0900758575717529,0.0885904447951046,0.0891183537743288,0.0881608499769048,0.0504377238360525
22,0.128589263420724,0.0807083145939087,0.0788017704710718,0.079779162300908,0.0788500100079074,0.0491736794078881
23,0.128589263420724,0.0743718835970026,0.0720554896568249,0.0734367410900253,0.0725015985830481,0.0452240924761712
24,0.128589263420724,0.0717905503133924,0.0688641287527081,0.0708626809885657,0.069934811663739,0.043288283711005
