"hour","max","CI_high","median","mean","CI_low","min"
1,0.0927868852459016,0.0747466702391102,0.0735133102432728,0.0734755554016187,0.0722044405641272,0.0582758067105474
2,0.086925711586158,0.0725829938404978,0.0713875393907563,0.0712844385452453,0.0699858832499928,0.0562695380340396
3,0.101883701883702,0.0718295623737548,0.0697444334898014,0.070432235859299,0.0690349093448432,0.0552012060767714
4,0.0904436860068259,0.0711621184674456,0.0692308940137249,0.0697134028581191,0.0682646872487926,0.054069700127359
5,0.101145662847791,0.0702627157986392,0.0689109240896592,0.0688249363867052,0.0673871569747713,0.0541792081500347
6,0.0846717052432688,0.0702265634886595,0.0692093670299096,0.068840624404125,0.0674546853195905,0.0543855588984031
7,0.0927835051546392,0.0727488126639418,0.0715112797709798,0.0713124583166317,0.0698761039693216,0.055587791574794
8,0.109743930828068,0.0836293475793604,0.0817230850139993,0.0819726680226432,0.080315988465926,0.0598760378903052
9,0.146412411118293,0.10715507263751,0.104579710144928,0.104903612010513,0.102652151383517,0.0734073641145529
10,0.169823861748089,0.131393606992466,0.127765940009834,0.128936471308229,0.126479335623993,0.094987732211707
11,0.184491114701131,0.147636616556629,0.143873498931022,0.145274230471974,0.142911844387319,0.114441101596853
12,0.186897239773861,0.154974387302042,0.15094519058245,0.152651468517439,0.150328549732835,0.118697113712762
13,0.187196896217265,0.155778528365617,0.150492540965943,0.153505849569015,0.151233170772413,0.12515934639008
14,0.196864316869032,0.155055919532204,0.149065874404065,0.152626763953578,0.150197608374953,0.117790132036136
15,0.195811170212766,0.153061813350138,0.148667978384025,0.150285202856993,0.147508592363849,0.10867802108678
16,0.188672566371681,0.144080668132449,0.140247399031066,0.14118419041296,0.13828771269347,0.0961427082126723
17,0.173435419440746,0.130277648921069,0.128386887156137,0.127435445044258,0.124593241167447,0.0804691128657687
18,0.149492966961073,0.119971126738747,0.117698220354782,0.117449751903011,0.114928377067275,0.0788131664348632
19,0.15109441359033,0.116207681236075,0.114132646296925,0.113771208112046,0.111334734988017,0.0742115027829314
20,0.150539391958156,0.108945119311482,0.106492185522526,0.106547706722879,0.104150294134275,0.0680579710144927
21,0.122712418300654,0.0990538972490767,0.0972846208153372,0.0969161844465512,0.0947784716440257,0.061345416521436
22,0.127103414474759,0.0888216581578991,0.0873705147645932,0.0869149073154867,0.0850081564730744,0.0585433848298293
23,0.1285140562249,0.0794234851894367,0.0766824120890342,0.0775555902930358,0.0756876953966349,0.049342639181951
24,0.0955882352941176,0.0774649798555756,0.0732249858154321,0.0759672639279668,0.0744695480003579,0.0581619537275064
