"","EvseID","ChargingStationId","Accessibility","latitude","longitude","City","Country","PostalCode","Street","IsOpen24Hours","LastUpdate","DynamicInfoAvailable","DynamicPowerLevel","ChargingFacility_power","ChargingFacility_powertype"
"6388","CH*CCI*E21635","CH*CCI*E21635","Paying publicly accessible",46.60967,7.109007,"Broc","CHE","1636","Route du Lac 1",TRUE,NA,"true","",11,"AC_3_PHASE"
"6389","CH*CCC*E50531","CH*CCC*E50531","Paying publicly accessible",NA,NA,"Aïre","CHE","1219","Chemin de la Verseuse 17",TRUE,NA,"true","",22,"AC_3_PHASE"
"6390","CH*CCI*E20788","CH*CCI*E20788","Paying publicly accessible",47.349688,7.944326,"Dulliken","CHE","4657","Alte Landstrasse 3",TRUE,NA,"true","",22,"AC_3_PHASE"
"6391","CH*CCI*E20304","CH*CCI*E20304","Paying publicly accessible",46.88319,7.045747,"Avenches","CHE","1580","Route de Berne 6",TRUE,NA,"true","",11,"AC_3_PHASE"
"6392","CH*CCI*E20306","CH*CCI*E20306","Paying publicly accessible",47.349172,8.036542,"Oberentfelden","CHE","5036","Köllikerstrasse 80",TRUE,NA,"true","",22,"AC_3_PHASE"
"6393","CH*SOC*E5126*3A","CH*SOC*E5126*3A","Paying publicly accessible",47.330132,8.029941,"Kölliken","CHE","5742","SOCAR Raststätte Kölliken",TRUE,NA,"true","",200,"DC"
"6394","CH*CCI*E20781","CH*CCI*E20781","Paying publicly accessible",46.93144,7.42002,"Liebefeld","CHE","3097","Kohlenweg",TRUE,NA,"true","",22,"AC_3_PHASE"
"6395","CH*CCI*E20780","CH*CCI*E20780","Paying publicly accessible",46.218528,6.102513,"Chatelaine","CHE","1219","Avenue de l'Etang 60",TRUE,NA,"true","",22,"AC_3_PHASE"
"6396","CH*CCI*E21630","CH*CCI*E21630","Paying publicly accessible",47.419445,8.367208,"Spreitenbach","CHE","8957","Bahnhofstrasse 2",TRUE,NA,"true","",22,"AC_3_PHASE"
"6397","CH*CCI*E20783","CH*CCI*E20783","Paying publicly accessible",47.34843,7.9111,"Olten","CHE","4600","Aarauerstrasse 68",TRUE,NA,"true","",22,"AC_3_PHASE"
"6398","CH*CCI*E20782","CH*CCI*E20782","Paying publicly accessible",46.93144,7.42002,"Liebefeld","CHE","3097","Kohlenweg",TRUE,NA,"true","",22,"AC_3_PHASE"
"6399","CH*CCI*E21632","CH*CCI*E21632","Paying publicly accessible",47.19262,7.50446,"Lüsslingen","CHE","4574","Bürenstrasse 63",TRUE,NA,"true","",11,"AC_3_PHASE"
"6400","CH*CCI*E20785","CH*CCI*E20785","Paying publicly accessible",47.35317,7.90526,"Olten","CHE","4600","Amthausquai 24",TRUE,NA,"true","",22,"AC_3_PHASE"
"6401","CH*CCI*E20301","CH*CCI*E20301","Paying publicly accessible",46.974469,8.379304,"Stans","CHE","6370","Ennetbürgerstrasse 5",TRUE,NA,"true","",22,"AC_3_PHASE"
"6402","CH*CCI*E21631","CH*CCI*E21631","Paying publicly accessible",47.19262,7.50446,"Lüsslingen","CHE","4574","Bürenstrasse 63",TRUE,NA,"true","",11,"AC_3_PHASE"
"6403","CH*CCI*E20784","CH*CCI*E20784","Paying publicly accessible",47.34843,7.9111,"Olten","CHE","4600","Aarauerstrasse 68",TRUE,NA,"true","",22,"AC_3_PHASE"
"6404","CH*CCI*E20300","CH*CCI*E20300","Paying publicly accessible",46.707746,6.841576,"Lucens","CHE","1522","Avenue de la Gare 13",TRUE,NA,"true","",11,"AC_3_PHASE"
"6405","CH*CCC*E50529","CH*CCC*E50529","Paying publicly accessible",46.21947,6.10257,"Chatelaine","CHE","1219","Avenue de l'Etang",TRUE,NA,"true","",22,"AC_3_PHASE"
