AccessibilityLocation,Street,City,PostalCode,Country,AuthenticationModes,ChargingFacilities,ChargingStationNames,DynamicInfoAvailable,HotlinePhoneNumber,HubOperatorID,IsHubjectCompatible,IsOpen24Hours,PaymentOptions,Plugs,RenewableEnergy,Accessibility,ChargingStationId,GeoCoordinates,lastUpdate,EvseID
OnStreet,Limmatstrasse 310,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Limmatstrasse 310 Zürich,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67436,47.390026 8.5241657,2024-10-04T02:15:04.056Z,CH*SWI*E67438
OnStreet,Limmatstrasse 310,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Limmatstrasse 310 Zürich,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67436,47.390026 8.5241657,2024-10-04T02:15:04.056Z,CH*SWI*E67440
OnStreet,Limmatstrasse 310,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Limmatstrasse 310 Zürich,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67436,47.390026 8.5241657,2024-10-04T02:15:04.056Z,CH*SWI*E67439
OnStreet,Limmatstrasse 310,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Limmatstrasse 310 Zürich,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67436,47.390026 8.5241657,2024-10-04T02:15:04.056Z,CH*SWI*E67441
OnStreet,Limmatstrasse 310,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Limmatstrasse 310 Zürich,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67436,47.390026 8.5241657,2024-10-04T02:15:04.056Z,CH*SWI*E67442
OnStreet,Unterwerkstrasse 9,Reinach,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Tennishalle / Eishalle Reinach,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67896,47.25819365 8.1721666,2024-10-04T02:15:04.056Z,CH*SWI*E67897
OnStreet,Limmatstrasse 310,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Limmatstrasse 310 Zürich,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67436,47.390026 8.5241657,2024-10-04T02:15:04.056Z,CH*SWI*E67444
OnStreet,Unterwerkstrasse 9,Reinach,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Tennishalle / Eishalle Reinach,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67896,47.25819365 8.1721666,2024-10-04T02:15:04.056Z,CH*SWI*E67896
OnStreet,Limmatstrasse 310,Zürich,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,ewz Limmatstrasse 310 Zürich,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67436,47.390026 8.5241657,2024-10-04T02:15:04.056Z,CH*SWI*E67443
OnStreet,Steinackerstrasse 57,Kloten,0,CHE,"NFC RFID Classic, REMOTE",43 AC_3_PHASE,Scania Schweiz AG,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E68286,47.44764888 8.60481029,2024-10-04T02:15:04.056Z,CH*SWI*E68286
OnStreet,Steinackerstrasse 57,Kloten,0,CHE,"NFC RFID Classic, REMOTE","50 DC, 50 DC",Scania Schweiz AG,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,"CCS Combo 2 Plug (Cable Attached), CHAdeMO",False,Free publicly accessible,CH*SWI*E68286,47.44764888 8.60481029,2024-10-04T02:15:04.056Z,CH*SWI*E68287
OnStreet,Bahnhofstrasse 10,Büron,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Gemeinde Büron,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67967,47.2134709 8.0935516,2024-10-04T02:15:04.056Z,CH*SWI*E67968
OnStreet,Bahnhofstrasse 10,Büron,0,CHE,"NFC RFID Classic, REMOTE",22 AC_3_PHASE,Gemeinde Büron,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E67967,47.2134709 8.0935516,2024-10-04T02:15:04.056Z,CH*SWI*E67967
OnStreet,Steinackerstrasse 57,Kloten,0,CHE,"NFC RFID Classic, REMOTE",43 AC_3_PHASE,Scania Schweiz AG,true,+41713881150,CH*SWISSCHARGE,True,True,Direct,Type 2 Outlet,False,Free publicly accessible,CH*SWI*E68286,47.44764888 8.60481029,2024-10-04T02:15:04.056Z,CH*SWI*E68288
