"","TimeSlice","Utilization_min","Utilization_median","Utilization_max"
"1","WIN-WK-D01",0.0461502511975698,0.0644708132918283,0.124431362055124
"2","WIN-WK-D02",0.0458050946482823,0.063102760226139,0.101769911504425
"3","WIN-WK-D03",0.0454120943264067,0.0616924788226234,0.100981996726678
"4","WIN-WK-D04",0.0438882029408463,0.0608658567498156,0.0988362563514178
"5","WIN-WK-D05",0.0450250787355651,0.0611146986732333,0.0993615976428221
"6","WIN-WK-D06",0.047941210778024,0.0663105734069563,0.105866928875778
"7","WIN-WK-D07",0.0494402985074627,0.0826326963906582,0.130812049770792
"8","WIN-WK-D08",0.051156271899089,0.112513316397607,0.162572721396251
"9","WIN-WK-D09",0.0541549953314659,0.143318400471276,0.187358916478555
"10","WIN-WK-D10",0.0628886542297313,0.152441860465116,0.195478723404255
"11","WIN-WK-D11",0.0756775783174938,0.151936444885799,0.194000652103032
"12","WIN-WK-D12",0.0863140612173097,0.147153722055773,0.196492367651835
"13","WIN-WK-D13",0.0905813953488372,0.145532390651536,0.190058479532164
"14","WIN-WK-D14",0.0917655268667132,0.146267432321575,0.178464606181456
"15","WIN-WK-D15",0.0908456438292428,0.143926735116184,0.196983867196633
"16","WIN-WK-D16",0.0854084244821969,0.135631728637521,0.174867021276596
"17","WIN-WK-D17",0.0823145884270579,0.124225780063106,0.16843853820598
"18","WIN-WK-D18",0.0797767182230492,0.115557401989154,0.153620352250489
"19","WIN-WK-D19",0.0714285714285714,0.10979409030523,0.153294194390085
"20","WIN-WK-D20",0.0649063626846574,0.1011776413999,0.139124755062051
"21","WIN-WK-D21",0.0594691168963757,0.0897735817923171,0.126466753585398
"22","WIN-WK-D22",0.0533484676503973,0.0783295977350478,0.11860540892799
"23","WIN-WK-D23",0.0490658001624695,0.0704448527541423,0.118603411513859
"24","WIN-WK-D24",0.0463984425697599,0.0653456998313659,0.128246318607764
"25","WIN-SA-D01",0.0513277202072539,0.0705269253039954,0.0880948460398485
"26","WIN-SA-D02",0.0533364388028415,0.0692993821107781,0.0958544977879731
"27","WIN-SA-D03",0.0528711484593838,0.0682802811138364,0.0800570138971374
"28","WIN-SA-D04",0.0519087523277467,0.0673794525323684,0.0791315695812077
"29","WIN-SA-D05",0.0519571295433364,0.0681976232373338,0.0792443863609362
"30","WIN-SA-D06",0.0557884928954111,0.0732198210854024,0.0913838120104439
"31","WIN-SA-D07",0.0616269515201315,0.0919029340489449,0.118136439267887
"32","WIN-SA-D08",0.0783005617977528,0.124974362129789,0.158402662229617
"33","WIN-SA-D09",0.0969555035128806,0.153494051944185,0.178245270711024
"34","WIN-SA-D10",0.115942028985507,0.162520729684909,0.187993867201321
"35","WIN-SA-D11",0.135557629491367,0.16120195899394,0.187622629169392
"36","WIN-SA-D12",0.140009272137228,0.156622543780317,0.182627153236999
"37","WIN-SA-D13",0.138206672845227,0.15500913773052,0.17952041477641
"38","WIN-SA-D14",0.137999071494893,0.154933089518743,0.178083804143126
"39","WIN-SA-D15",0.135904286212104,0.153688388330147,0.184366082348145
"40","WIN-SA-D16",0.121679619533697,0.145385677439409,0.172022483826493
"41","WIN-SA-D17",0.113567955545265,0.133294920416864,0.163759689922481
"42","WIN-SA-D18",0.103803028551613,0.125665424427652,0.146951016327891
"43","WIN-SA-D19",0.0969346443030654,0.120317974594823,0.139677419354839
"44","WIN-SA-D20",0.0915297384864615,0.114057560779939,0.136804367310356
"45","WIN-SA-D21",0.0842397593149734,0.104544357269462,0.127096564077512
"46","WIN-SA-D22",0.0710319296621934,0.0931714677786795,0.114350686266548
"47","WIN-SA-D23",0.0617115581316059,0.0829010430951618,0.0995699099245314
"48","WIN-SA-D24",0.0512447462010993,0.0687540348612008,0.117992525360384
"49","WIN-SU-D01",0.0582758067105474,0.0735133102432728,0.0927868852459016
"50","WIN-SU-D02",0.0562695380340396,0.0713875393907563,0.086925711586158
"51","WIN-SU-D03",0.0552012060767714,0.0697444334898014,0.101883701883702
"52","WIN-SU-D04",0.054069700127359,0.0692308940137249,0.0904436860068259
"53","WIN-SU-D05",0.0541792081500347,0.0689109240896592,0.101145662847791
"54","WIN-SU-D06",0.0543855588984031,0.0692093670299096,0.0846717052432688
"55","WIN-SU-D07",0.055587791574794,0.0715112797709798,0.0927835051546392
"56","WIN-SU-D08",0.0598760378903052,0.0817230850139993,0.109743930828068
"57","WIN-SU-D09",0.0734073641145529,0.104579710144928,0.146412411118293
"58","WIN-SU-D10",0.094987732211707,0.127765940009834,0.169823861748089
"59","WIN-SU-D11",0.114441101596853,0.143873498931022,0.184491114701131
"60","WIN-SU-D12",0.118697113712762,0.15094519058245,0.186897239773861
"61","WIN-SU-D13",0.12515934639008,0.150492540965943,0.187196896217265
